08:49:16.271 [main] INFO  c.c.r.s.agent.launch.AgentLauncher - SSH 服务未检测到（端口 22 未监听），跳过 SSH 协议注册
08:49:16.275 [main] INFO  c.c.r.s.agent.launch.AgentLauncher - 协议过滤: [SSH, DESKTOP, SOCKS5] -> [DESKTOP, SOCKS5]
08:49:16.277 [main] INFO  c.c.r.s.agent.launch.AgentLauncher - Agent 启动配置: gateway=127.0.0.1:9001 agentId=68621e5091534e92849eb512e16a912d protocols=[DESKTOP, SOCKS5]
08:49:16.455 [main] WARN  c.c.r.s.agent.launch.AgentLauncher - 无法加载 Agent 服务: com.chua.remote.support.agent.ssh.SshAgentService (ClassNotFoundException: com.chua.remote.support.agent.ssh.SshAgentService)
08:49:16.457 [main] WARN  c.c.r.s.agent.launch.AgentLauncher - 无法加载 Agent 服务: com.chua.remote.support.agent.desktop.DesktopAgentService (ClassNotFoundException: com.chua.remote.support.agent.desktop.DesktopAgentService)
08:49:16.459 [main] WARN  c.c.r.s.agent.launch.AgentLauncher - 无法加载 Agent 服务: com.chua.remote.support.agent.socks5.NettySocks5AgentService (ClassNotFoundException: com.chua.remote.support.agent.socks5.NettySocks5AgentService)
08:49:16.459 [main] WARN  c.c.r.s.agent.launch.AgentLauncher - 无法创建 RustDeskAgentContext 代理: com.chua.remote.support.agent.rustdesk.RustDeskAgentContext
08:49:16.460 [main] WARN  c.c.r.s.agent.launch.AgentLauncher - 无法加载 Agent 服务: com.chua.remote.support.agent.rustdesk.RustDeskAgentService (ClassNotFoundException: com.chua.remote.support.agent.rustdesk.RustDeskAgentService)
08:49:16.800 [main] WARN  c.c.r.support.agent.BaseRemoteAgent - Agent 连接 Gateway 失败: 127.0.0.1:9001 Connection refused: getsockopt: /127.0.0.1:9001
08:49:16.803 [main] INFO  c.c.r.support.agent.BaseRemoteAgent - 将在 1000ms 后尝试第 2 次连接..
08:49:16.810 [main] INFO  c.c.r.s.agent.launch.AgentLauncher - Agent 已启动，等待注册或重连
08:49:17.814 [agent-reconnect] WARN  c.c.r.support.agent.BaseRemoteAgent - Agent 连接 Gateway 失败: 127.0.0.1:9001 Connection refused: getsockopt: /127.0.0.1:9001
08:49:17.814 [agent-reconnect] INFO  c.c.r.support.agent.BaseRemoteAgent - 将在 2000ms 后尝试第 3 次连接..
08:49:19.819 [agent-reconnect] WARN  c.c.r.support.agent.BaseRemoteAgent - Agent 连接 Gateway 失败: 127.0.0.1:9001 Connection refused: getsockopt: /127.0.0.1:9001
08:49:19.820 [agent-reconnect] INFO  c.c.r.support.agent.BaseRemoteAgent - 将在 4000ms 后尝试第 4 次连接..
08:49:23.823 [agent-reconnect] WARN  c.c.r.support.agent.BaseRemoteAgent - Agent 连接 Gateway 失败: 127.0.0.1:9001 Connection refused: getsockopt: /127.0.0.1:9001
08:49:23.825 [agent-reconnect] INFO  c.c.r.support.agent.BaseRemoteAgent - 将在 8000ms 后尝试第 5 次连接..
08:49:31.828 [agent-reconnect] WARN  c.c.r.support.agent.BaseRemoteAgent - Agent 连接 Gateway 失败: 127.0.0.1:9001 Connection refused: getsockopt: /127.0.0.1:9001
08:49:31.828 [agent-reconnect] INFO  c.c.r.support.agent.BaseRemoteAgent - 将在 16000ms 后尝试第 6 次连接..
08:49:47.836 [agent-reconnect] WARN  c.c.r.support.agent.BaseRemoteAgent - Agent 连接 Gateway 失败: 127.0.0.1:9001 Connection refused: getsockopt: /127.0.0.1:9001
